"sample_name","sample_id_PPR","unique_replicate_id","RUSH ID #","batch_id","sample_id","replicate_id","RUSH Project Batch Name","figure","Figure","George Figure number","experiment_type","sampling_device","bar_name","location","environment","extraction_method","control_type","environmental_sample","control_sample","dna_kit","microbial_type","sample_reads","bar_fill","bar_type_2","bar_type","bar_color","bar_axis_2","bar_axis","percent_recovery_dpcr","percent_recovery_qpcr","copies_original_dpcr_log10","copies_original_qpcr_log10","copies_rxn_dpcr_log10","copies_rxn_qpcr_log10","copies_original_dpcr","copies_original_qpcr","copies_rxn_dpcr","copies_rxn_qpcr","16s_rrna_copy_sample","16s_rrna_copy_rxn","cq_se_rxn","cq_sd_rxn","cq_mean_rxn","quantity_sd_ng_rxn","quantity_mean_sample","quantity_mean_ng_rxn","qpcr_volume_ul","dna_eluent_volume_ul","cell_count_estimate","cell_concentration","surface_area_cm2","processing_volume_ul","processing_solution","concentrated","sample_type","extraction_handling","sample_number","date","Total Copies in Orginal Sample (50uL) [dPCR copies*dil*50]","Total Copies in Undiluted Sample (1 µL) [Dil*dPCR Copies]","Final Dilution ","Digital Comments","Copies in Sample [dPCR]","Conversion factor","Total volume [¬µl]","Template volume [¬µl]","Volume per well [¬µl]","Threshold","Partitions (Negative)","Partitions (Positive)","Partitions (Valid)","CI (95%)","Conc. [cp/¬µL] (dPCR reaction)","Exp Type","Cell Count (Cells/50 ¬µL","Sample Description","DNA Qubit (ng/uL)","Project Name ID","Sequencing Name ID ","experiment","table_file","project_name"
"6_245Flc_Qi_L1","277_PPR_6_245Flc_Qi_L1_S219_L002","6-245Flc-Qi-L1","6-245Flc-Qi-L1","batch_6","6_245Flc_Qi_L1","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","cotton",NA,"Loc_1","fungal_lab_floor","spin_column","sample","yes","no","qiagen","NA",10749702,"gray1",NA,NA,NA,NA,NA,NA,NA,3.85003325768977,4.66525272979865,2.15106325335375,3.26731272112661,"7080","46265.017395690629","141.6","1850.6006958276253","46265.017395690629","1850.6006958276253","4.6272345280722604E-2","8.0146053011581508E-2","28.629672418569669","6.322175748812173E-5","3.3610568219519618E-2","1.3444227287807847E-3",2,50,"1977.0922482070364","NA","25",100,"water","yes","NA","manual",149,2023-12-06,"7080","141.6","1",NA,141.6,6,12,2,2.889,14.75,8206,66,8272,"0.24099999999999999","23.6",NA,"1977.09","Batch #6, 245 Fungal Lab, Cotton, Qiagen, Location 1","6.9999999999999999E-4","277_PPR","277_PPR_6-245Flc-Qi-L1","PPR","Merged_Genus_raw_abund.csv","PPR"
"6_245Flc_Qi_L2","278_PPR_6_245Flc_Qi_L2_S220_L002","6-245Flc-Qi-L2","6-245Flc-Qi-L2","batch_6","6_245Flc_Qi_L2","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","cotton",NA,"Loc_2","fungal_lab_floor","spin_column","sample","yes","no","qiagen","NA",4501074,"gray1",NA,NA,NA,NA,NA,NA,NA,4.58883172559421,5.01214183443381,2.88974977526404,3.61420182576177,"38800","102835.2088535277","775.8","4113.4083541411073","102835.2088535277","4113.4083541411073","0.12211795503577656","0.21151450263837662","27.293227836980645","3.8714865185524293E-4","7.4707630021597762E-2","2.9883052008639103E-3",2,50,"4394.5664718586922","NA","25",100,"water","yes","NA","manual",150,2023-12-06,"38800","775.8","1",NA,775.8,6,12,2,2.889,14.75,7865,353,8218,"0.104","129.30000000000001",NA,"4394.57","Batch #6, 245 Fungal Lab, Cotton, Qiagen, Location 2","1.5E-3","278_PPR","278_PPR_6-245Flc-Qi-L2","PPR","Merged_Genus_raw_abund.csv","PPR"
"6_245Flc_Qi_L3","279_PPR_6_245Flc_Qi_L3_S221_L002","6-245Flc-Qi-L3","6-245Flc-Qi-L3","batch_6","6_245Flc_Qi_L3","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","cotton",NA,"Loc_3","fungal_lab_floor","spin_column","sample","yes","no","qiagen","NA",10965792,"gray1",NA,NA,NA,NA,NA,NA,NA,3.97543180850926,4.4471699731367,2.27646180417324,3.04922996446466,"9450","28000.769926527784","189","1120.0307970611116","28000.769926527784","1120.0307970611116","7.035399330344759E-2","0.12185669091693177","29.47640286162645","5.7658694939651989E-5","2.0341974147886011E-2","8.1367896591544048E-4",2,50,"1196.58671458153","NA","25",100,"water","yes","NA","manual",151,2023-12-06,"9450","189","1",NA,189,6,12,2,2.889,14.75,8186,88,8274,"0.20899999999999999","31.5",NA,"1196.5899999999999","Batch #6, 245 Fungal Lab, Cotton, Qiagen, Location 3","4.0000000000000002E-4","279_PPR","279_PPR_6-245Flc-Qi-L3","PPR","Merged_Genus_raw_abund.csv","PPR"
"6_245Flm_Qi_L1","280_PPR_6_245Flm_Qi_L1_S222_L002","6-245Flm-Qi-L1","6-245Flm-Qi-L1","batch_6","6_245Flm_Qi_L1","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","macrofoam",NA,"Loc_1","fungal_lab_floor","spin_column","sample","yes","no","qiagen","NA",7064870,"gray3",NA,NA,NA,NA,NA,NA,NA,3.91169015875386,4.66404735443013,2.21272015441784,3.26610734575809,"8160","46136.787826625994","163.19999999999999","1845.4715130650397","46136.787826625994","1845.4715130650397","3.9246540004340968E-2","6.797700130880302E-2","28.633990912701197","5.361653514428017E-5","3.3517412117535568E-2","1.3406964847014228E-3",2,50,"1971.6124775020924","NA","25",100,"water","yes","NA","manual",152,2023-12-06,"8160","163.19999999999999","1",NA,163.2,6,12,2,2.889,14.75,8193,76,8269,"0.22500000000000001","27.2",NA,"1971.61","Batch #6, 245 Fungal Lab, Macrofoam, Qiagen, Location 1","6.9999999999999999E-4","280_PPR","280_PPR_6-245Flm-Qi-L1","PPR","Merged_Genus_raw_abund.csv","PPR"
"6_245Flm_Qi_L2","281_PPR_6_245Flm_Qi_L2_S223_L002","6-245Flm-Qi-L2","6-245Flm-Qi-L2","batch_6","6_245Flm_Qi_L2","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","macrofoam",NA,"Loc_2","fungal_lab_floor","spin_column","sample","yes","no","qiagen","NA",7947212,"gray3",NA,NA,NA,NA,NA,NA,NA,3.91115760873998,4.52805047183034,2.21245396104028,3.1301104631583,"8150","33732.650901200308","163.1","1349.3060360480124","33732.650901200308","1349.3060360480124","0.33194932877051531","0.57495310296891777","29.221323378680921","3.0178720198568309E-4","2.450606588220236E-2","9.8024263528809436E-4",2,50,"1441.5332871883741","NA","25",100,"water","yes","NA","manual",153,2023-12-06,"8150","163.1","1",NA,163.1,6,12,2,2.889,14.75,8200,76,8276,"0.22500000000000001","27.2",NA,"1441.53","Batch #6, 245 Fungal Lab, Macrofoam, Qiagen, Location 2","5.0000000000000001E-4","281_PPR","281_PPR_6-245Flm-Qi-L2","PPR","Merged_Genus_raw_abund.csv","PPR"
"6_245Flm_Qi_L3","282_PPR_6_245Flm_Qi_L3_S224_L002","6-245Flm-Qi-L3","6-245Flm-Qi-L3","batch_6","6_245Flm_Qi_L3","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","macrofoam",NA,"Loc_3","fungal_lab_floor","spin_column","sample","yes","no","qiagen","NA",15465404,"gray3",NA,NA,NA,NA,NA,NA,NA,5.13353890837022,5.51512854857005,3.43511143312649,4.11718853989801,"136000","327437.60010836896","2723.4","13097.504004334758","327437.60010836896","13097.504004334758","9.2470108540020968E-2","0.16016292617272504","25.340226722790078","9.2893292182494292E-4","0.2378765731773661","9.5150629270946436E-3",2,50,"13992.739598668595","NA","25",100,"water","yes","NA","manual",154,2023-12-06,"136000","2723.4","1",NA,2723.4,6,12,2,2.889,14.75,7077,1179,8256,"5.7000000000000002E-2","453.9",NA,"13992.74","Batch #6, 245 Fungal Lab, Macrofoam, Qiagen, Location 3","4.7999999999999996E-3","282_PPR","282_PPR_6-245Flm-Qi-L3","PPR","Merged_Genus_raw_abund.csv","PPR"
"6_NCc_Qi_1","283_PPR_6_NCc_Qi_1_S225_L002","6-NCc-Qi-1","6-NCc-Qi-1","batch_6","6_NCc_Qi_1","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","cotton",NA,"NA","fungal_lab_floor","spin_column","reagent_control","yes","yes","qiagen","NA",6779004,"gray1",NA,NA,NA,NA,NA,NA,NA,4.01283722470517,4.48744229243726,2.31492005599242,3.08950228376522,"10300","30721.491214958151","206.5","1228.8596485983262","30721.491214958151","1228.8596485983262","0.24628381388820403","0.42657607873620684","29.353602119847693","2.2732777130519833E-4","2.2318521302056232E-2","8.9274085208224932E-4",2,50,"1312.8541942386018","NA","NA",100,"water","no","reagent_control","manual",155,2023-12-06,"10300","206.5","1",NA,206.5,6,12,2,2.889,14.75,8169,96,8265,"0.2","34.4",NA,"1312.85","Batch #6, Reagent Control, Cotton, Qiagen, Sample 1","4.0000000000000002E-4","283_PPR","283_PPR_6-NCc-Qi-1","PPR","Merged_Genus_raw_abund.csv","PPR"
"6_NCw_Qi_1","284_PPR_6_NCw_Qi_1_S226_L002","6-NCw-Qi-1","6-NCw-Qi-1","batch_6","6_NCw_Qi_1","rep_1","2nd Exp - 450 - PPR - Orange Set","2","2","Figure 2 [Bar 9]","environmental","NA","Water Only","NA","fungal_lab_floor","spin_column","water_control","yes","yes","qiagen","NA",1534,"gray1","Mastermix","Mastermix","Water","Water","Water",NA,NA,2.33041377334919,3.17051136525421,0.633468455579587,1.77257135658217,"214","1480.8510078389486","4.3","59.234040313557948","1480.8510078389486","59.234040313557948","0.34380587969553933","0.59548925157358712","34.494815890014443","1.6386641286816651E-5","1.0758073080623419E-3","4.3032292322493676E-5",2,50,"63.282782827196584","NA","NA",100,"water","yes","water_control","manual",157,2023-12-06,"214","4.3","1",NA,4.3,6,12,2,2.889,14.75,8262,2,8264,"1.1910000000000001","0.7",NA,"63.28","Batch #6, Negative Control Water, Qiagen, Sample 1","0","284_PPR","284_PPR_6-NCw-Qi-1","PPR","Merged_Genus_raw_abund.csv","PPR"
"6_PCc_Qi_1","285_PPR_6_PCc_Qi_1_S227_L002","6-PCc-Qi-1","6-PCc-Qi-1","batch_6","6_PCc_Qi_1","rep_1","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","NA",NA,"NA","fungal_lab_floor","spin_column","positive_control","yes","yes","qiagen","atcc",78079872,NA,NA,NA,NA,NA,NA,NA,NA,8.2148438480477,8.17245595297828,6.51632908460808,6.77451594430624,"164000000","148749650.15353477","3283440","5949986.0061413916","148749650.15353477","5949986.0061413916","4.3516207623466842E-2","7.5372282556560671E-2","15.03878101923228","0.19571220606669706","108.06351203448898","4.3225404813795594",2,50,"6356677.1784993522","2000000","NA",100,"water","yes","2.00E+6","manual",158,2023-12-06,"164000000","3283440","400",NA,8208.6,6,12,2,2.889,14.75,5151,3045,8196,"3.5999999999999997E-2","1368.1",NA,"6356677.1799999997","Batch #6, Positive Control (E+06) w/ Centrifugation, Qiagen, Sample 1","2.1613000000000002","285_PPR","285_PPR_6-PCc-Qi-1","PPR","Merged_Genus_raw_abund.csv","PPR"
"6_PCc_Qi_2","286_PPR_6_PCc_Qi_2_S228_L002","6-PCc-Qi-2","6-PCc-Qi-2","batch_6","6_PCc_Qi_2","rep_2","2nd Exp - 450 - PPR - Orange Set","",NA,NA,"environmental","NA",NA,"NA","fungal_lab_floor","spin_column","positive_control","yes","yes","qiagen","atcc",101117848,NA,NA,NA,NA,NA,NA,NA,NA,8.32837960343874,8.24211051249586,6.62937901390732,6.84417050382382,"213000000","174626645.90794367","4259700","6985065.8363177469","174626645.90794367","6985065.8363177469","4.3427255493312146E-2","7.5218212947691265E-2","14.768847971425208","0.22625783574915023","126.86260863227372","5.0745043452909488",2,50,"7462506.3901337478","2000000","NA",100,"water","yes","2.00E+6","manual",159,2023-12-06,"213000000","4259700","500",NA,8519.4,6,12,2,2.889,14.75,5026,3113,8139,"3.5000000000000003E-2","1419.9",NA,"7462506.3899999997","Batch #6, Positive Control (E+06) w/ Centrifugation, Qiagen, Sample 2","2.5373000000000001","286_PPR","286_PPR_6-PCc-Qi-2","PPR","Merged_Genus_raw_abund.csv","PPR"
"7_SAFc_Ma_L1","287_PPR_7_SAFc_Ma_L1_S229_L002","7-SAFc-Ma-L1","7-SAFc-Ma-L1","batch_7","7_SAFc_Ma_L1","rep_1","2nd Exp - 450 - PPR - Orange Set","5A","5A/5B","Figure 5A/5B [Blue Dots]","environmental","cotton",NA,"Loc_1","saf_floor","mag_beads","sample","yes","no","maxwell","NA",1163688,"gray1",NA,NA,NA,NA,NA,NA,NA,3.37106786227174,4.06571601017512,1.6730209071289,2.66777600150308,"2350","11633.650437357159","47.1","465.34601749428634","11633.650437357159","465.34601749428634","1.193E-2","2.0660000000000001E-2","29.484300000000001","4.3601416924273705E-6","8.4516039045790577E-3","3.3806415618316233E-4",2,50,"497.15317085759165","NA","25",100,"water","yes","NA","automated",162,2023-12-11,"2350","47.1","1",NA,47.1,6,12,2,2.889,14.75,8248,22,8270,"0.41799999999999998","7.8",NA,"497.15","Batch #7, SAF, Cotton, Maxwell, Location #1","2.0000000000000001E-4","287_PPR","287_PPR_7-SAFc-Ma-L1","PPR","Merged_Genus_raw_abund.csv","PPR"
"7_SAFc_Ma_L2","288_PPR_7_SAFc_Ma_L2_S230_L002","7-SAFc-Ma-L2","7-SAFc-Ma-L2","batch_7","7_SAFc_Ma_L2","rep_1","2nd Exp - 450 - PPR - Orange Set","5A","5A/5B","Figure 5A/5B [Blue Dots]","environmental","cotton",NA,"Loc_2","saf_floor","mag_beads","sample","yes","no","maxwell","NA",2146364,"gray1",NA,NA,NA,NA,NA,NA,NA,3.57403126772772,4.22695646077884,1.87448181769947,2.82901645210681,"3750","16863.839522655355","74.900000000000006","674.55358090621417","16863.839522655355","674.55358090621417","8.5379999999999998E-2","0.14788999999999999","28.892800000000001","4.4655609264168249E-5","1.2251226966404079E-2","4.9004907865616318E-4",2,50,"720.66040978847525","NA","25",100,"water","yes","NA","automated",163,2023-12-11,"3750","74.900000000000006","1",NA,74.9,6,12,2,2.889,14.75,8234,35,8269,"0.33100000000000002","12.5",NA,"720.66","Batch #7, SAF, Cotton, Maxwell, Location #2","2.0000000000000001E-4","288_PPR","288_PPR_7-SAFc-Ma-L2","PPR","Merged_Genus_raw_abund.csv","PPR"
"7_SAFc_Ma_L3","289_PPR_7_SAFc_Ma_L3_S231_L002","7-SAFc-Ma-L3","7-SAFc-Ma-L3","batch_7","7_SAFc_Ma_L3","rep_1","2nd Exp - 450 - PPR - Orange Set","5A","5A/5B","Figure 5A/5B [Blue Dots]","environmental","cotton",NA,"Loc_3","saf_floor","mag_beads","sample","yes","no","maxwell","NA",885420,"gray1",NA,NA,NA,NA,NA,NA,NA,3.17609125905568,4.07403499521286,1.47712125471966,2.67609498654082,"1500","11858.643006169204","30","474.34572024676811","11858.643006169204","474.34572024676811","6.4640000000000003E-2","0.11196","29.456","2.3672786544456268E-5","8.6150563035755964E-3","3.4460225214302386E-4",2,50,"506.76801785738803","NA","25",100,"water","yes","NA","automated",164,2023-12-11,"1500","30","1",NA,30,6,12,2,2.889,14.75,8241,14,8255,"0.52400000000000002","5",NA,"506.77","Batch #7, SAF, Cotton, Maxwell, Location #3","2.0000000000000001E-4","289_PPR","289_PPR_7-SAFc-Ma-L3","PPR","Merged_Genus_raw_abund.csv","PPR"
